Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Num 1+,Num 2+,Num Negative,Positive %,H-score,Allred proportion,Allred intensity,Allred score,Area µm^2,Perimeter µm,Num 3+
Image_15.vsi - 40x_06 #11,610f9eaf-2acf-42bc-8f0a-f06cb7b5a47a,PathAnnotationObject,,Image,Polygon,456.23,457.03,613,223,249,141,77,117.62,5,1,6,128921.7,2754.1,
Image_16.vsi - 40x_04 #7,7fad52af-c61a-4a66-abeb-e0340e9e4b78,PathAnnotationObject,,Image,Polygon,631.77,410.43,1143,26,1,1116,2.362,2.45,2,1,3,534259.3,3804.9,
Image_16.vsi - 40x_05 #9,e626d1e1-c9e3-4288-9607-eed37db95a94,PathAnnotationObject,,Image,Polygon,611.54,287.07,207,22,1,184,11.11,11.59,3,1,4,39786.2,1207,
Image_16.vsi - 40x_06 #11,743b4efa-3e54-46e9-87f5-a3fe220358ec,PathAnnotationObject,,Image,Polygon,573.63,671.81,505,140,,365,27.72,27.72,3,1,4,89579.1,2502.1,
Image_19.vsi - 40x_05 #9,6755181b-14e7-4dc8-8086-e5603f076933,PathAnnotationObject,,Image,Geometry,401.39,319.95,294,152,45,97,67.01,82.31,5,1,6,56894.9,1345.9,
Image_19.vsi - 40x_06 #11,5efa6497-614e-4a2e-8ba3-1704ea5c1c1e,PathAnnotationObject,,Image,Polygon,770.43,302.31,1087,648,141,298,72.59,85.56,5,1,6,209316.1,2599.4,
Image_20.vsi - 40x_04 #7,03635059-ad88-48b6-829f-1f1b83061bce,PathAnnotationObject,,Image,Polygon,474.24,398.68,572,225,259,88,84.62,129.9,5,1,6,98969.2,2406.6,
Image_20.vsi - 40x_05 #9,2d867ee9-3dd2-4969-a8c1-378f354c1bb8,PathAnnotationObject,,Image,Polygon,694.81,411.55,1755,724,797,234,86.67,132.08,5,1,6,417738.6,3933.9,
Image_20.vsi - 40x_06 #11,7c5e27a6-f68f-4104-9b75-492d3b62a0f6,PathAnnotationObject,,Image,Polygon,217.87,387.09,254,123,67,64,74.8,101.18,5,1,6,46822.5,1519.7,
Image_20.vsi - 40x_07 #13,b988fc2e-52cd-4d9c-82c8-e426c4fd1e2c,PathAnnotationObject,,Image,Polygon,337.94,293.39,220,42,2,176,20,20.91,3,1,4,61468.1,1337.5,
Image_25.vsi - 40x_04 #7,be8a5cf5-4c34-4cc8-b826-f4a602dc5e32,PathAnnotationObject,,Image,Polygon,414.55,508.99,1107,541,389,177,84.01,119.15,5,1,6,191996.3,2715,
Image_25.vsi - 40x_06 #11,a94c621f-373d-4c44-8a16-1d590f4553fd,PathAnnotationObject,,Image,Polygon,406.59,211.67,272,29,,242,11.03,11.76,3,1,4,63680.7,1119.8,1
Image_25_01.vsi - 40x_04 #7,1653b75a-690d-4242-88c3-1370cd52fc22,PathAnnotationObject,,Image,Geometry,470.09,484.39,1297,673,404,220,83.04,114.19,5,1,6,217247.8,2815.4,
Image_25_01.vsi - 40x_05 #9,f863aa94-5924-4d12-ba2e-bb18486b3ef4,PathAnnotationObject,,Image,Polygon,184.64,355.14,432,184,4,244,43.52,44.44,4,1,5,79481.8,1647.5,
Image_25_01.vsi - 40x_06 #11,67fe796e-ad61-4f96-b46c-67d366626132,PathAnnotationObject,,Image,Polygon,405.45,197.12,236,26,,209,11.44,12.29,3,1,4,48677.4,1053.6,1
Image_28.vsi - 40x_05 #9,b4fe60fb-e009-4b45-a94e-27f1af2ac90d,PathAnnotationObject,,Image,Geometry,842.88,422.5,837,395,75,367,56.15,65.11,4,1,5,232547.9,3000.9,
Image_28.vsi - 40x_07 #13,283c37d1-ac98-4fb7-822c-ded6d8ea31d3,PathAnnotationObject,,Image,Polygon,551.62,262.52,696,335,191,170,75.57,103.02,5,1,6,151898.5,2555.4,
Image_31.vsi - 40x_04 #7,49ae9c33-55a1-45c8-917e-bbf156ce57b9,PathAnnotationObject,,Image,Polygon,391.07,417.99,1463,492,662,309,78.88,124.13,5,1,6,268638.3,2429.4,
Image_31.vsi - 40x_05 #9,c7b87dcf-69aa-497a-8418-15b7da2341e8,PathAnnotationObject,,Image,Polygon,330.05,228.76,155,,,155,0,,,,,37219.9,1283.6,
Image_31.vsi - 40x_06 #11,7c53dc73-201e-4802-a981-8509e730aa91,PathAnnotationObject,,Image,Geometry,701.94,187.87,422,251,83,88,79.15,98.82,5,1,6,124350.5,2309.7,
Image_31.vsi - 40x_07 #13,61f64a12-badf-4b73-b4db-2e701d9ff90d,PathAnnotationObject,,Image,Polygon,834.28,639.91,1718,789,539,390,77.3,108.67,5,1,6,315939.5,3199.2,
Image_37.vsi - 40x_06 #11,81ab193c-8579-454d-8cd3-0451981831e2,PathAnnotationObject,,Image,Polygon,637.58,161.83,308,230,4,74,75.97,77.27,5,1,6,59869.7,1078.1,
Image_37.vsi - 40x_07 #13,4de96ef5-5020-4697-87c9-ef115e2faae6,PathAnnotationObject,,Image,Polygon,490.4,434.72,1033,600,66,367,64.47,70.86,4,1,5,184011.2,2126.1,
Image_37.vsi - 40x_08 #15,d8725224-ab02-45a1-aab0-200000407ec4,PathAnnotationObject,,Image,Polygon,460.9,587.58,997,439,1,557,44.13,44.23,4,1,5,208878.6,2837,
